nitrogen,phosphorus,potassium,ph,temperature,humidity,rainfall,soil,season,crop
101.55,55.05,59.14,7.37,24.55,70.45,67.68,Loamy,Zayad,Watermelon
32.55,50.36,37.82,7.25,25.26,76.05,84.3,Sandy,Kharif,MungBean
32.18,15.61,21.09,5.8,28.82,56.63,128.99,Loamy,Kharif,Mango
48.06,52.29,41.3,6.24,23.26,69.46,68.58,Loamy,Rabi,Chickpea
24.32,23.82,22.23,6.81,18.49,41.66,57.32,Loamy,Kharif,Pomegranate
15.81,19.61,24.75,7.2,28.36,35.21,78.63,Loamy,Rabi,Pomegranate
42.74,42.3,123.54,6.32,27.34,83.98,194.62,Sandy,Kharif,Coconut
105.73,79.64,333.23,6.06,27.79,88.38,148.95,Red Soil,Kharif,Banana
91.23,51.65,47.24,6.63,27.08,76.93,55.93,Sandy Loam,Zayad,Muskmelon
25.35,34.7,30.14,7.13,24.46,47.35,80.31,Red Soil,Rabi,Pomegranate
21.4,60.72,21.62,7.14,28.91,74.5,95.7,Loamy,Kharif,PigeonPeas
23.96,52.01,22.74,6.43,28.79,75.96,83.44,Sandy,Zayad,MungBean
109.4,44.32,40.24,6.71,30.84,69.33,71.15,Sandy Loam,Zayad,Watermelon
30.79,27.72,25.37,7.29,32.78,37.18,86.35,Loamy,Kharif,Pomegranate
30.24,86.13,233.19,6.65,34.22,64.71,86.52,Black Soil,Rabi,Grapes
39.41,25.3,37.33,5.53,27.73,62.62,119.95,Loamy,Kharif,Mango
117.16,63.81,264.41,7.17,28.5,86.98,189.62,Red Soil,Kharif,Banana
26.72,45.16,36.4,6.64,28.02,82.36,84.68,Loamy,Kharif,MungBean
58.67,43.13,101.71,6.74,31.64,71.35,247.88,Loamy,Kharif,Coconut
95.19,45.68,40.25,6.85,27.76,75.32,44.45,Loamy,Zayad,Muskmelon
68.61,50.1,48.2,6.6,20.22,54.67,46.2,Clay,Rabi,Wheat
84.86,62.96,321.95,7.12,26.5,83.08,179.7,Loamy,Kharif,Banana
96.49,43.75,47.35,6.5,21.69,84.89,224.25,Loamy,Rabi,Rice
86.93,61.6,80,6.5,28.03,75.01,110.51,Sandy Loam,Kharif,Papaya
21.1,54.71,20.71,7.28,28.91,74.94,68.4,Loamy,Kharif,MungBean
53.85,47.72,103.41,7.04,34.6,73.92,219.57,Sandy,Kharif,Coconut
99.24,75.85,85.25,6.36,23.01,78.81,160.95,Loamy,Kharif,Papaya
91.37,76.58,97.47,6.31,24.15,80.77,167.69,Red Soil,Kharif,Papaya
80.57,51.27,40.41,6.65,24.23,74.02,44.08,Loamy,Kharif,Watermelon
96.43,61.26,80.39,6.75,23.85,71.81,130.58,Loamy,Kharif,Papaya
90.47,74.53,97.45,6.76,30.24,80.27,107.81,Loamy,Kharif,Papaya
33.07,63.66,38.57,7.05,28.04,66.78,87.39,Clay,Kharif,PigeonPeas
112.18,71.78,344.68,7.13,29.92,88.31,177.87,Red Soil,Kharif,Banana
84.8,62.3,346.45,6.86,26.99,89.79,160.56,Red Soil,Kharif,Banana
36.46,60.91,38.76,6.26,22.56,62.57,60.87,Clay Loam,Rabi,Lentil
77.38,59.14,28.49,5.56,19.82,68.8,54.69,Loamy,Rabi,Maize
38.7,59.21,34.33,5.58,16.5,74.08,66.88,Sandy,Rabi,KidneyBeans
28.63,45.75,26.32,7.05,28.92,80.51,79.83,Sandy,Zayad,MungBean
35.54,86.33,202.01,6.66,30.3,61.79,66.09,Black Soil,Kharif,Grapes
29.46,50.61,24.57,6.98,31.49,84.65,87.75,Loamy,Kharif,MungBean
70.74,51.47,20.82,6.79,22.19,74.33,54.47,Sandy Loam,Rabi,Maize
46.01,24.26,22.98,6.84,21.18,61.27,112.16,Sandy Loam,Rabi,Orange
80.04,48.75,49.93,6.77,24.74,87.83,159.97,Loamy,Kharif,Rice
41.84,44.91,146.7,7.2,27.79,88.55,179.82,Coastal Sandy,Kharif,Coconut
37.33,64.87,33.67,6.09,29.61,77.53,73.34,Loamy,Kharif,Blackgram
91.63,68.71,84.41,6.87,24.79,80.59,160.68,Red Soil,Kharif,Papaya
100.1,55.77,51.32,7.49,28.48,79.25,108.5,Clay,Kharif,Cotton
29.56,21.34,25.62,6.85,27.52,64.97,77.68,Sandy Loam,Kharif,Mango
